resume_text,job_role
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics used version control with git and github actions,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics collaborated in agile scrum environment,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics wrote documentation testing and debugging reports,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics optimized model performance using cross validation,Data Analyst
Excel tableau power bi sql reporting dashboard data cleaning visualization business analysis statistics created end to end project with deployment,Data Analyst
HTML CSS JavaScript React Node.js REST API frontend backend git github web development internship project teamwork communication problem solving,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development deployed app using streamlit and github,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development worked on dataset preprocessing and feature engineering,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development built dashboards and presented insights to stakeholders,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development used version control with git and github actions,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development collaborated in agile scrum environment,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development wrote documentation testing and debugging reports,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development optimized model performance using cross validation,Web Developer
HTML CSS JavaScript React Node.js REST API frontend backend git github web development created end to end project with deployment,Web Developer
Java spring boot microservices REST API SQL docker kubernetes backend development internship project teamwork communication problem solving,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development deployed app using streamlit and github,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development worked on dataset preprocessing and feature engineering,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development built dashboards and presented insights to stakeholders,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development used version control with git and github actions,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development collaborated in agile scrum environment,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development wrote documentation testing and debugging reports,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development optimized model performance using cross validation,Backend Developer
Java spring boot microservices REST API SQL docker kubernetes backend development created end to end project with deployment,Backend Developer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud internship project teamwork communication problem solving,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud deployed app using streamlit and github,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud worked on dataset preprocessing and feature engineering,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud built dashboards and presented insights to stakeholders,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud used version control with git and github actions,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud collaborated in agile scrum environment,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud wrote documentation testing and debugging reports,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud optimized model performance using cross validation,DevOps Engineer
AWS EC2 S3 Lambda terraform docker kubernetes CI/CD monitoring linux devops cloud created end to end project with deployment,DevOps Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile internship project teamwork communication problem solving,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile deployed app using streamlit and github,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile worked on dataset preprocessing and feature engineering,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile built dashboards and presented insights to stakeholders,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile used version control with git and github actions,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile collaborated in agile scrum environment,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile wrote documentation testing and debugging reports,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile optimized model performance using cross validation,QA Engineer
Manual testing automation testing selenium junit test cases bug tracking QA agile created end to end project with deployment,QA Engineer
Android kotlin java xml firebase mobile application UI API integration internship project teamwork communication problem solving,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration deployed app using streamlit and github,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration worked on dataset preprocessing and feature engineering,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration built dashboards and presented insights to stakeholders,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration used version control with git and github actions,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration collaborated in agile scrum environment,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration wrote documentation testing and debugging reports,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration optimized model performance using cross validation,Mobile Developer
Android kotlin java xml firebase mobile application UI API integration created end to end project with deployment,Mobile Developer
C++ algorithms data structures operating systems OOP debugging software engineering internship project teamwork communication problem solving,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering deployed app using streamlit and github,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering worked on dataset preprocessing and feature engineering,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering built dashboards and presented insights to stakeholders,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering used version control with git and github actions,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering collaborated in agile scrum environment,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering wrote documentation testing and debugging reports,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering optimized model performance using cross validation,Software Engineer
C++ algorithms data structures operating systems OOP debugging software engineering created end to end project with deployment,Software Engineer
R statistics hypothesis testing regression visualization data mining forecasting analytics internship project teamwork communication problem solving,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics deployed app using streamlit and github,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics worked on dataset preprocessing and feature engineering,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics built dashboards and presented insights to stakeholders,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics used version control with git and github actions,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics collaborated in agile scrum environment,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics wrote documentation testing and debugging reports,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics optimized model performance using cross validation,Data Analyst
R statistics hypothesis testing regression visualization data mining forecasting analytics created end to end project with deployment,Data Analyst
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer internship project teamwork communication problem solving,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer deployed app using streamlit and github,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer worked on dataset preprocessing and feature engineering,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer built dashboards and presented insights to stakeholders,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer used version control with git and github actions,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer collaborated in agile scrum environment,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer wrote documentation testing and debugging reports,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer optimized model performance using cross validation,NLP Engineer
NLP text preprocessing tokenization named entity recognition sentiment analysis spaCy nltk transformer created end to end project with deployment,NLP Engineer
Power BI Excel KPI business insights stakeholder reporting SQL communication internship project teamwork communication problem solving,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication deployed app using streamlit and github,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication worked on dataset preprocessing and feature engineering,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication built dashboards and presented insights to stakeholders,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication used version control with git and github actions,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication collaborated in agile scrum environment,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication wrote documentation testing and debugging reports,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication optimized model performance using cross validation,Business Analyst
Power BI Excel KPI business insights stakeholder reporting SQL communication created end to end project with deployment,Business Analyst
